BayID,DeviceID,Description1,Description2,Description3,Description4,Description5,Description6,DisabilityExt1,DisabilityExt2,DisabilityExt3,DisabilityExt4,DisabilityExt5,DisabilityExt6,Duration1,Duration2,Duration3,Duration4,Duration5,Duration6,EffectiveOnPH1,EffectiveOnPH2,EffectiveOnPH3,EffectiveOnPH4,EffectiveOnPH5,EffectiveOnPH6,EndTime1,EndTime2,EndTime3,EndTime4,EndTime5,EndTime6,Exemption1,Exemption2,Exemption3,Exemption4,Exemption5,Exemption6,FromDay1,FromDay2,FromDay3,FromDay4,FromDay5,FromDay6,StartTime1,StartTime2,StartTime3,StartTime4,StartTime5,StartTime6,ToDay1,ToDay2,ToDay3,ToDay4,ToDay5,ToDay6,TypeDesc1,TypeDesc2,TypeDesc3,TypeDesc4,TypeDesc5,TypeDesc6
8099,25478,2P M-SUN 7:30AM-11PM,,,,,,240,,,,,,120,,,,,,1,,,,,,0001-01-02T09:03:52+10:05,,,,,,,,,,,,1,,,,,,0001-01-01T17:33:52+10:05,,,,,,0,,,,,,2P,,,,,
8067,25446,1/4P M-F 7:30-18:30,,,,,,30,,,,,,15,,,,,,0,,,,,,0001-01-02T04:33:52+10:05,,,,,,,,,,,,1,,,,,,0001-01-01T17:33:52+10:05,,,,,,5,,,,,,1/4P,,,,,
1036,25230,1P MTR M-SAT 7:30-18:30,2P MTR M-SAT 18.30 - 20.30,1P SUN 7:30-18:30,,,,120,240,120,,,,60,120,60,,,,0,0,0,,,,0001-01-02T04:33:52+10:05,0001-01-02T06:33:52+10:05,0001-01-02T04:33:52+10:05,,,,,,,,,,1,1,0,,,,0001-01-01T17:33:52+10:05,0001-01-02T04:33:52+10:05,0001-01-01T17:33:52+10:05,,,,6,6,0,,,,1P Meter,2P,1P,,,
8083,25462,1P M-SUN 7:30-23:00,,,,,,120,,,,,,60,,,,,,1,,,,,,0001-01-02T09:03:52+10:05,,,,,,,,,,,,1,,,,,,0001-01-01T17:33:52+10:05,,,,,,0,,,,,,1P,,,,,
1098,30452,2P MTR M-SAT 7:30-20:30,1P SUN 7:30-18:30,,,,,240,120,,,,,120,60,,,,,0,0,,,,,0001-01-02T06:33:52+10:05,0001-01-02T04:33:52+10:05,,,,,,,,,,,1,0,,,,,0001-01-01T17:33:52+10:05,0001-01-01T17:33:52+10:05,,,,,6,0,,,,,2P Meter,1P,,,,
3947,24656,4P MTR M-F 7:30-18:30,4P MTR SAT 7:30-12:30,,,,,480,480,,,,,240,240,,,,,0,0,,,,,0001-01-02T04:33:52+10:05,0001-01-01T22:33:52+10:05,,,,,,,,,,,1,6,,,,,0001-01-01T17:33:52+10:05,0001-01-01T17:33:52+10:05,,,,,5,6,,,,,4P Meter,4P Meter,,,,
8068,25447,1/4P M-F 7:30-18:30,,,,,,30,,,,,,15,,,,,,0,,,,,,0001-01-02T04:33:52+10:05,,,,,,,,,,,,1,,,,,,0001-01-01T17:33:52+10:05,,,,,,5,,,,,,1/4P,,,,,
6849,24688,4P TKT A M-F 7:30-18:30,4P TKT A SAT 7:30-12:30,,,,,480,480,,,,,240,240,,,,,0,0,,,,,0001-01-02T04:33:52+10:05,0001-01-01T22:33:52+10:05,,,,,,,,,,,1,6,,,,,0001-01-01T17:33:52+10:05,0001-01-01T17:33:52+10:05,,,,,5,6,,,,,4P Ticket A,4P Ticket A,,,,
8082,25461,1P M-SUN 7:30-23:00,,,,,,120,,,,,,60,,,,,,1,,,,,,0001-01-02T09:03:52+10:05,,,,,,,,,,,,1,,,,,,0001-01-01T17:33:52+10:05,,,,,,0,,,,,,1P,,,,,
8007,25386,1P M-SUN 7:30-23:00,,,,,,120,,,,,,60,,,,,,1,,,,,,0001-01-02T09:03:52+10:05,,,,,,,,,,,,1,,,,,,0001-01-01T17:33:52+10:05,,,,,,0,,,,,,1P,,,,,
5375,30427,2P TKT A M-F 7:30-18:30,2P TKT A SAT 7:30-12:30,,,,,240,240,,,,,120,120,,,,,0,0,,,,,0001-01-02T04:33:52+10:05,0001-01-01T22:33:52+10:05,,,,,Residents Permit Accepted,,,,,,1,6,,,,,0001-01-01T17:33:52+10:05,0001-01-01T17:33:52+10:05,,,,,5,6,,,,,2P Ticket A,2P Ticket A,,,,
3350,26427,1/2P RPA M-F 7:30-18:30,1/2P RPA SAT 7:30-12:30,,,,,60,60,,,,,30,30,,,,,0,0,,,,,0001-01-02T04:33:52+10:05,0001-01-01T22:33:52+10:05,,,,,Residents Permit Accepted,Residents Permit Accepted,,,,,1,6,,,,,0001-01-01T17:33:52+10:05,0001-01-01T17:33:52+10:05,,,,,5,6,,,,,1/2P,1/2P,,,,
7998,25377,1P M-SUN 7:30-23:00,,,,,,120,,,,,,60,,,,,,1,,,,,,0001-01-02T09:03:52+10:05,,,,,,,,,,,,1,,,,,,0001-01-01T17:33:52+10:05,,,,,,0,,,,,,1P,,,,,
4325,24076,2P TKT A M-SAT 7:30-20:30,2P SUN 7:30-18:30,,,,,240,240,,,,,120,120,,,,,0,0,,,,,0001-01-02T06:33:52+10:05,0001-01-02T04:33:52+10:05,,,,,,,,,,,1,0,,,,,0001-01-01T17:33:52+10:05,0001-01-01T17:33:52+10:05,,,,,6,0,,,,,2P Ticket A,2P,,,,
1032,26836,1P MTR M-SAT 7:30-18:30,2P MTR M-SAT 18.30 - 20.30,1P SUN 7:30-18:30,,,,120,240,120,,,,60,120,60,,,,0,0,0,,,,0001-01-02T04:33:52+10:05,0001-01-02T06:33:52+10:05,0001-01-02T04:33:52+10:05,,,,,,,,,,1,1,0,,,,0001-01-01T17:33:52+10:05,0001-01-02T04:33:52+10:05,0001-01-01T17:33:52+10:05,,,,6,6,0,,,,1P Meter,2P,1P,,,
5396,30637,2P MTR M-F 7:30-18:30,2P MTR SAT 7:30-12:30,,,,,240,240,,,,,120,120,,,,,0,0,,,,,0001-01-02T04:33:52+10:05,0001-01-01T22:33:52+10:05,,,,,,,,,,,1,6,,,,,0001-01-01T17:33:52+10:05,0001-01-01T17:33:52+10:05,,,,,5,6,,,,,2P Meter,2P Meter,,,,
2328,24955,LZ 15M M-F 9:30-19:30,2P MTR SAT 7:30-20:30,1P SUN 7:30-18:30,,,,0,240,120,,,,15,120,60,,,,0,0,0,,,,0001-01-02T05:33:52+10:05,0001-01-02T06:33:52+10:05,0001-01-02T04:33:52+10:05,,,,,,,,,,1,6,0,,,,0001-01-01T19:33:52+10:05,0001-01-01T17:33:52+10:05,0001-01-01T17:33:52+10:05,,,,5,6,0,,,,Loading Zone 15M,2P Meter,1P,,,
3516,24597,1P MTR M-SAT 7:30-18:30,2P MTR M-SAT 18.30 - 20.30,2P SUN 7:30-18:30,,,,120,240,240,,,,60,120,120,,,,0,0,0,,,,0001-01-02T04:33:52+10:05,0001-01-02T06:33:52+10:05,0001-01-02T04:33:52+10:05,,,,,,,,,,1,1,0,,,,0001-01-01T17:33:52+10:05,0001-01-02T04:33:52+10:05,0001-01-01T17:33:52+10:05,,,,6,6,0,,,,1P Meter,2P,2P,,,
5907,30396,2P MTR M-F 7:30-18:30,2P MTR SAT 7:30-12:30,,,,,240,240,,,,,120,120,,,,,0,0,,,,,0001-01-02T04:33:52+10:05,0001-01-01T22:33:52+10:05,,,,,,,,,,,1,6,,,,,0001-01-01T17:33:52+10:05,0001-01-01T17:33:52+10:05,,,,,5,6,,,,,2P Meter,2P Meter,,,,
915,23909,2P MTR M-SAT 7:30-20:30,1P SUN 7:30-18:30,,,,,240,120,,,,,120,60,,,,,0,0,,,,,0001-01-02T06:33:52+10:05,0001-01-02T04:33:52+10:05,,,,,,,,,,,1,0,,,,,0001-01-01T17:33:52+10:05,0001-01-01T17:33:52+10:05,,,,,6,0,,,,,2P Meter,1P,,,,
1037,23570,1P MTR M-SAT 7:30-18:30,2P MTR M-SAT 18.30 - 20.30,1P SUN 7:30-18:30,,,,120,240,120,,,,60,120,60,,,,0,0,0,,,,0001-01-02T04:33:52+10:05,0001-01-02T06:33:52+10:05,0001-01-02T04:33:52+10:05,,,,,,,,,,1,1,0,,,,0001-01-01T17:33:52+10:05,0001-01-02T04:33:52+10:05,0001-01-01T17:33:52+10:05,,,,6,6,0,,,,1P Meter,2P,1P,,,
1038,24613,1P MTR M-SAT 7:30-18:30,2P MTR M-SAT 18.30 - 20.30,1P SUN 7:30-18:30,,,,120,240,120,,,,60,120,60,,,,0,0,0,,,,0001-01-02T04:33:52+10:05,0001-01-02T06:33:52+10:05,0001-01-02T04:33:52+10:05,,,,,,,,,,1,1,0,,,,0001-01-01T17:33:52+10:05,0001-01-02T04:33:52+10:05,0001-01-01T17:33:52+10:05,,,,6,6,0,,,,1P Meter,2P,1P,,,
8611,27980,2P RPA 1B 7:30-23:00 M-SUN,,,,,,240,,,,,,120,,,,,,1,,,,,,0001-01-02T09:03:52+10:05,,,,,,Resident Permit Area 1B,,,,,,1,,,,,,0001-01-01T17:33:52+10:05,,,,,,0,,,,,,2P,,,,,
5257,21860,3P MTR M-F 10:00-15:00,P10 M-F 1500-1600,3P MTR M-F 19:00-20:30,3P MTR SAT 7:30-20:30,,,360,20,360,360,,,180,10,180,180,,,0,0,0,0,,,0001-01-02T01:03:52+10:05,0001-01-02T02:03:52+10:05,0001-01-02T06:33:52+10:05,0001-01-02T06:33:52+10:05,,,,,,,,,1,1,1,6,,,0001-01-01T20:03:52+10:05,0001-01-02T01:03:52+10:05,0001-01-02T05:03:52+10:05,0001-01-01T17:33:52+10:05,,,5,5,5,6,,,3P Meter,P 10 Mins,3P Meter,3P Meter,,
4671,29375,2P MTR M-F 7:30-18:30,2P MTR SAT 7:30-12:30,,,,,240,240,,,,,120,120,,,,,0,0,,,,,0001-01-02T04:33:52+10:05,0001-01-01T22:33:52+10:05,,,,,,,,,,,1,6,,,,,0001-01-01T17:33:52+10:05,0001-01-01T17:33:52+10:05,,,,,5,6,,,,,2P Meter,2P Meter,,,,
4675,29374,2P MTR M-F 7:30-18:30,2P MTR SAT 7:30-12:30,,,,,240,240,,,,,120,120,,,,,0,0,,,,,0001-01-02T04:33:52+10:05,0001-01-01T22:33:52+10:05,,,,,,,,,,,1,6,,,,,0001-01-01T17:33:52+10:05,0001-01-01T17:33:52+10:05,,,,,5,6,,,,,2P Meter,2P Meter,,,,
